Time [s],STM Temp [C],MCP Temp [C],,,STM Temp [C],MCP Temp [C],,,,,,,,,,,,
60000,21.9786,18.875,,1,21.9786,18.875,,,,,,,,,,,,
120000,22.31515,18.875,,2,22.31515,18.875,,,,,,,,,,,,
180000,22.85929,18.875,,3,22.85929,18.875,,,,,,,,,,,,
240000,22.6517,18.875,,4,22.6517,18.875,,,,,,,,,,,,
300000,22.98824,18.8125,,5,22.98824,18.8125,,,,,,,,,,,,
360000,22.31515,18.8125,,6,22.31515,18.8125,,,,,,,,,,,,
420000,22.6517,18.875,,7,22.6517,18.875,,,,,,,,,,,,
480000,22.6517,18.875,,8,22.6517,18.875,,,,,,,,,,,,
540000,22.98824,18.875,,9,22.98824,18.875,,,,,,,,,,,,
600000,22.6517,18.75,,10,22.6517,18.75,,,,,,,,,,,,
660000,22.98824,18.8125,,11,22.98824,18.8125,,,,,,,,,,,,
720000,22.98824,18.75,,12,22.98824,18.75,,,,,,,,,,,,
780000,22.31515,18.8125,,13,22.31515,18.8125,,,,,,,,,,,,
840000,22.98824,18.8125,,14,22.98824,18.8125,,,,,,,,,,,,
900000,22.6517,18.875,,15,22.6517,18.875,,,,,,,,,,,,
960000,22.7807,18.8125,,16,22.7807,18.8125,,,,,,,,,,,,
1020000,22.7807,18.8125,,17,22.7807,18.8125,,,,,,,,,,,,
1080000,22.6517,18.75,,18,22.6517,18.75,,,,,,,,,,,,
1140000,22.6517,18.75,,19,22.6517,18.75,,Temperature data for this project was collected in Joshua Hoye's room overnight.,,,,,,,,,,
1200000,22.98824,18.75,,20,22.98824,18.75,,,,,,,,,,,,
1260000,22.31515,18.8125,,21,22.31515,18.8125,,,,,,,,,,,,
1320000,22.44437,18.75,,22,22.44437,18.75,,,,,,,,,,,,
1380000,22.6517,18.75,,23,22.6517,18.75,,,,,,,,,,,,
1440000,22.6517,18.75,,24,22.6517,18.75,,,,,,,,,,,,
1500000,22.6517,18.6875,,25,22.6517,18.6875,,,,,,,,,,,,
1560000,22.6517,18.6875,,26,22.6517,18.6875,,,,,,,,,,,,
1620000,22.98824,18.75,,27,22.98824,18.75,,,,,,,,,,,,
1680000,22.6517,18.75,,28,22.6517,18.75,,,,,,,,,,,,
1740000,22.98824,18.75,,29,22.98824,18.75,,,,,,,,,,,,
1800000,22.31515,18.8125,,30,22.31515,18.8125,,,,,,,,,,,,
1860000,22.10805,18.75,,31,22.10805,18.75,,,,,,,,,,,,
1920000,22.31515,18.75,,32,22.31515,18.75,,,,,,,,,,,,
1980000,22.6517,18.8125,,33,22.6517,18.8125,,,,,,,,,,,,
2040000,22.6517,18.75,,34,22.6517,18.75,,,,,,,,,,,,
2100000,22.98824,18.6875,,35,22.98824,18.6875,,,,,,,,,,,,
2160000,22.6517,18.6875,,36,22.6517,18.6875,,,,,,,,,,,,
2220000,22.6517,18.75,,37,22.6517,18.75,,,,,,,,,,,,
2280000,22.85929,18.75,,38,22.85929,18.75,,,,,,,,,,,,
2340000,22.98824,18.6875,,39,22.98824,18.6875,,,,,,,,,,,,
2400000,22.6517,18.6875,,40,22.6517,18.6875,,,,,,,,,,,,
2460000,22.6517,18.625,,41,22.6517,18.625,,,,,,,,,,,,
2520000,22.6517,18.625,,42,22.6517,18.625,,,,,,,,,,,,
2580000,22.6517,18.5,,43,22.6517,18.5,,,,,,,,,,,,
2640000,22.31515,18.5625,,44,22.31515,18.5625,,,,,,,,,,,,
2700000,22.10805,18.625,,45,22.10805,18.625,,,,,,,,,,,,
